T,Ortalama Deneme Sayısı,Ortalama Çıktı
1.0,1.0,7.0
2.0,1.08,7.5
,1.17,8.0
4.0,,8.5
5.0,1.4,9.0
6.0,1.56,9.5
7.0,1.75,10.0
8.0,2.0,10.49
9.0,2.32,10.96
10.0,2.75,
11.0,3.36,
12.0,4.28,12.18
13.0,,12.45
